Team_ID,School,Seed,SOS,FG,3P,FTA,ORB,TOV,OFG,O3P,OFTA,OORB,OTOV,,,,,,,,,,,,,
113,Gonzaga,1,3.67,0.524,8.39,18.7,9.59,11.8,0.376,6.75,14.2,9.22,12.6,,,,,,,,,,,,,
110,Georgia State,2,-2.03,0.402,7.68,17.9,13.2,12,0.412,7.57,16.8,9.85,16.8,,,,,,,,,,,,,
27,Boise State,3,5.23,0.448,7.55,19,9.97,11.9,0.428,5.65,13.7,6.45,13.2,,,,,,,,,,,,,
177,Memphis,4,6.99,0.473,6.61,22.1,12.2,16.4,0.395,8.11,19.5,11.8,15.4,,,,,,,,,,,,,
69,Connecticut,5,6.79,0.44,7.47,19.2,13,12.1,0.402,6.33,19,9.57,12.5,,,,,,,,,,,,,
206,New Mexico State,6,0.44,0.459,7.87,19.3,11,14.1,0.392,7.67,15.8,8.6,12.1,,,,,,,,,,,,,
17,Arkansas,7,7.79,0.44,6.48,22.9,11,12.5,0.409,7.52,18.4,9.19,15.1,,,,,,,,,,,,,
333,Vermont,8,-5.93,0.49,8.77,15,7.35,9.97,0.415,7.26,12.2,6.32,11.2,,,,,,,,,,,,,
7,Alabama,9,12.14,0.444,9.32,20.6,13.2,14.5,0.436,7.29,20.9,11.7,13.1,,,,,,,,,,,,,
262,Rutgers,10,6.87,0.442,6.07,15.6,9.77,11.7,0.412,7.67,15.8,9.2,12.1,262,Rutgers,6.87,0.442,6.07,15.6,9.77,11.7,0.412,7.67,15.8,9.2,12.1
320,Texas Tech,11,8.04,0.47,6,20.5,10.6,13.8,0.385,7.87,16.9,8.97,16,,,,,,,,,,,,,
194,Montana State,12,-5.88,0.471,7.71,21.2,8.48,12.8,0.426,6.55,19.4,7.42,13.2,,,,,,,,,,,,,
182,Michigan State,13,9.92,0.456,7.32,17.5,9.94,13.5,0.417,6.94,16.4,9.42,10.7,,,,,,,,,,,,,
74,Davidson,14,1.44,0.484,8.87,17.6,7.57,10,0.419,8.33,15.1,7.5,11.2,,,,,,,,,,,,,
84,Duke,15,5.87,0.489,8.32,17,10.3,10.3,0.413,6.32,11.8,10.2,11.3,,,,,,,,,,,,,
40,Cal State Fullerton,16,-2.53,0.447,5.18,20,9.29,12.2,0.446,7.71,14.9,8.11,14,,,,,,,,,,,,,
22,Baylor,1,9.07,0.466,8.1,17.4,12.1,12.7,0.422,5.81,15,9.68,15.7,,,,,,,,,,,,,
212,Norfolk State,2,-9.36,0.465,7.04,21.3,9.81,13.5,0.374,7.59,19.7,9.41,13.9,,,,,,,,,,,,,
220,North Carolina,3,7.26,0.458,8.52,18.5,10.4,11.8,0.436,8.13,13.5,7.61,10.1,,,,,,,,,,,,,
169,Marquette,4,9.18,0.455,8.6,16.2,7.47,12.4,0.408,7,18.6,12.2,13.7,,,,,,,,,,,,,
268,Saint Mary's (CA),5,5.75,0.462,7.23,13.5,8.4,11.4,0.421,5.19,12.6,6.97,13.3,,,,,,,,,,,,,
134,Indiana,6,7.47,0.458,6.2,19.4,8.8,12.1,0.39,7.37,17.5,8.6,12.1,,,,,,,,,,,,,
327,UCLA,7,8.09,0.449,7,18.7,11.5,9.14,0.414,6.72,15.8,8.17,13.8,,,,,,,,,,,,,
3,Akron,8,-4.88,0.46,7.8,21.4,9.83,11.4,0.422,6.67,14,8.1,11.7,,,,,,,,,,,,,
321,Texas,9,8.48,0.443,6.35,17.9,10,11.8,0.412,5.42,18.4,9.13,15.1,,,,,,,,,,,,,
337,Virginia Tech,10,5.04,0.467,8.94,12.5,8.65,11,0.425,6.39,12.8,8.48,12.3,,,,,,,,,,,,,
254,Purdue,11,8.4,0.497,9,20.9,10.7,11.6,0.428,8.29,12.9,8.19,9.87,,,,,,,,,,,,,
357,Yale,12,-1.89,0.443,6.89,19.3,8.93,13,0.424,7.21,18.7,9.75,13.5,,,,,,,,,,,,,
199,Murray State,13,-3.36,0.479,8.06,19,11.8,11.4,0.41,6.88,14.1,8.22,14.1,,,,,,,,,,,,,
274,San Francisco,14,4.97,0.459,9.64,17.4,10.6,12.9,0.419,5.12,18.6,8.34,13,,,,,,,,,,,,,
148,Kentucky,15,8.06,0.489,6.26,17,12.7,11.6,0.41,6.35,14.7,8.84,12.1,,,,,,,,,,,,,
269,Saint Peter's,16,-2.81,0.429,5.81,20.2,11.2,14.2,0.391,5.81,21,9.67,14.3,,,,,,,,,,,,,
13,Arizona,1,6.55,0.495,7.81,21.3,11.1,13.1,0.382,7,15.1,11.3,13.1,,,,,,,,,,,,,
34,Bryant,2,-7.47,0.436,8.43,20.4,12.5,13.8,0.416,7.13,16.3,12.8,12,,,,,,,,,,,,,
278,Seton Hall,3,8.76,0.427,7.34,19.8,12.3,12,0.404,6.28,16.3,10.1,12.6,,,,,,,,,,,,,
314,TCU,4,9.35,0.44,5.57,17.6,12.9,14.5,0.42,6.13,15.4,9.03,12.6,,,,,,,,,,,,,
125,Houston,5,5.18,0.467,8.06,17.1,13.2,11.4,0.372,6.74,18.5,9.45,14.7,,,,,,,,,,,,,
5,UAB,6,-1.01,0.468,7.77,17.1,11.8,11,0.414,6.84,16.9,8.48,16.3,,,,,,,,,,,,,
131,Illinois,7,9.69,0.456,9.27,18.5,11.3,12.3,0.414,5.8,17.1,9.2,10.8,,,,,,,,,,,,,
57,Chattanooga,8,-1.38,0.47,8,15.9,10.4,11,0.423,6.85,14.7,8.73,12.3,,,,,,,,,,,,,
66,Colorado State,9,4.49,0.487,7.86,16.7,6.39,9.93,0.426,8.43,14,7.89,12.3,,,,,,,,,,,,,
183,Michigan,10,11.05,0.471,6.37,16.6,9.9,11.5,0.447,6.47,15.4,7.93,10,,,,,,,,,,,,,
310,Tennessee,11,10.13,0.429,8.77,17.9,11.8,12.6,0.405,7,17.1,8.93,16.3,,,,,,,,,,,,,
157,Longwood,12,-6.88,0.454,8.19,20.5,11.7,12,0.428,7.47,14.1,7.22,14.2,,,,,,,,,,,,,
235,Ohio State,13,9.23,0.475,8.14,18.3,8.69,11.1,0.418,7.03,17,10.1,10.2,,,,,,,,,,,,,
163,Loyola (IL),14,3.13,0.483,8.91,17.3,7.72,12.2,0.409,6.53,15.1,7.88,13.4,,,,,,,,,,,,,
334,Villanova,15,9.75,0.444,9.33,17.5,9.73,10.1,0.41,7.63,14.2,9.13,12.4,,,,,,,,,,,,,
77,Delaware,16,-2.79,0.472,7.76,18.6,8.22,12.8,0.433,7.3,16.6,10.2,12.8,,,,,,,,,,,,,
145,Kansas,1,11.31,0.48,7.29,19.5,10.8,12.5,0.419,6.23,16.4,10,12.8,,,,,,,,,,,,,
318,Texas Southern,2,-6.39,0.436,5.74,19.3,11.9,15,0.402,6.48,20,10.6,12,,,,,,,,,,,,,
272,San Diego State,3,5.74,0.435,6.07,17.5,8.61,12.6,0.379,6.25,16.4,8.5,14.3,,,,,,,,,,,,,
72,Creighton,4,7.94,0.451,6.73,14.9,9.47,14.2,0.4,6.73,12.7,11.1,10.6,,,,,,,,,,,,,
137,Iowa,5,6.81,0.459,8.94,19.7,11.6,8.97,0.436,7.39,16.1,10.5,14.1,,,,,,,,,,,,,
259,Richmond,6,3.57,0.447,8.39,16.7,7.77,9.87,0.445,7.23,13.6,9.45,12.8,,,,,,,,,,,,,
253,Providence,7,7.6,0.445,7.5,21.3,10.2,11.9,0.409,6.79,15.3,10.3,10.8,,,,,,,,,,,,,
284,South Dakota State,8,-3.68,0.526,9.48,20.3,7.22,11.3,0.437,9.12,13.2,8.31,12,,,,,,,,,,,,,
160,Louisiana State,9,8.56,0.439,6.68,19.3,12,14.5,0.384,7.03,20.7,10.9,17.9,,,,,,,,,,,,,
136,Iowa State,10,8.64,0.442,6.77,15.9,9.35,13.6,0.426,5.68,18.7,8.87,16.7,,,,,,,,,,,,,
352,Wisconsin,11,9.77,0.427,6.6,18.9,9,8.6,0.438,6.33,15.4,7.83,11.5,,,,,,,,,,,,,
64,Colgate,12,-6.96,0.475,9.97,15.1,8.88,11.2,0.428,7.03,14.4,8.73,10.9,,,,,,,,,,,,,
289,Southern California,13,6.21,0.455,6.71,18.5,11.5,11.8,0.389,7.16,15.8,10.3,10.1,,,,,,,,,,,,,
180,Miami (FL),14,6.26,0.477,7.32,17.1,7.03,9.61,0.463,8.1,14,9.55,13.9,,,,,,,,,,,,,
19,Auburn,15,8.79,0.444,8.1,20.2,11.9,12.2,0.383,6.65,20.8,11,15,,,,,,,,,,,,,
141,Jacksonville State,16,-4.07,0.472,9.32,17.3,9.19,13.3,0.408,8.81,12.5,9.19,11.9,,,,,,,,,,,,,
